Hello!,hello chris this is knox overstress
How are you?,fine
What’s your name?,call me what have you been the wrong man who is business to meet your service sir
When were you born?,that was another one
Where are you from?,helsinki which is the capital of finland
Are you a man or a woman?,all right what she is at the man mr case is at all this
Why are you here?,shitbela that is with the gun
Okay bye!,i will see you therebye
See you later.,anyway you are crazy
Happy birthday!,what do you think i should be carrying a torch for you
Have a nice day!,well if it is a bad dream i can
How old are you?,older
Would you like some tea?,thanks for me
What a nice day today!,it is a dump in the house i love that is it
How do you do?,how do you do mrs ryani would heard you do know
Hey.,what
What’s up?,johana let s go
Good morning.,you think this shit is funny ho
How are you doing?,better i was really angry
Nice to meet you.,oh thank you i think we shall be great friends do not you
Thank you.,i have to talk to you
Where are you going?,i have to leave now
Good luck!,why
Sounds good?,it is going to be great
Talk to you later.,yeah he was looking
How can i help you?,where would you like who bothers you now
I do not feel very well.,what are you going to do
I miss you.,why
What are you going to do?,i will show you
I do not understand.,i am a cook do you understand cook
Who is Bill clinton?,mostly while he is
Is the sky blue or black?,the lack of the horse passenger
Does a cat have a ear?,yeah
Can a cat fly?,the girl has to do with it
How many legs does a cat have?,three i have got to have you got here
How many legs does a spider have?,it is from a long time
What is the color of the sky?,the past i assure youwatch in the house
What is the color of water?,the children are not on the fight
How much is two plus two?,we can dad
How much is ten add two?,three months mr three years
What do you like to talk about?,we are too old already
What is your job?,i do not know i do not know i do not know i do not know i do no
Tell me something about you.,later
What do you think about coffee? ,well it is too bad he is too late trumanthere s eyes
Do you like math?,i said i liked jesus i love my husband
Can you tell me a joke?,if i get a class and two have
I really like the song. What do you think?,it is okay
Do you like basketball?,the door is coming
What kind of music do you like best?,well we are
What’s your favorite sport?,i do not know i went to keep it easy man i could not get pretty
