Hello!,help
How are you?,i do not know i have to talk to the world then we have to talk to the world then we have to talk to the world then w
What’s your name?,you have to do
When were you born?,dude you are here you know you you know you you know you you know you you know you you know you you know you you know you yo
Where are you from?,we have to be that
Are you a man or a woman?,you meanyou
Why are you here?,i am done with you
Okay bye!,hello
See you later.,wow this is this
Happy birthday!,dude you have a big good
Have a nice day!,dude come on dude
How old are you?,why does that is not gonna say that is not gonna say that is not gonna say that is not gonna say that is not gonna say that 
Would you like some tea?,that is it
What a nice day today!,come on guys we are gonna get in the last update we get in the video store now
How do you do?,cause i have a reading out a merry christmas
Hey.,hey kid over herehey uh listen you know this whole singing and dancing thing you do i think you need to uh ease off a little bit
What’s up?,oh god
Good morning.,wow
How are you doing?,uh we are not being a dick we are supposed to feed them to put a dick we are supposed to feed them to put a dick we are su
Nice to meet you.,aw mr mackey
Thank you.,mr garrison stop
Where are you going?,i am going home
Good luck!,let s go
Sounds good?,hey hey my god
Talk to you later.,i am sick
How can i help you?,well it is my friend kyle i think he is really really sick
I do not feel very well.,look like it
I miss you.,i am gonna be here
What are you going to do?,please ih it you have to go
I do not understand.,do you do not get in a fight
Who is Bill clinton?,no dude look dude look dude look dude look dude look dude look dude look dude look dude look dude look dude look dude look dude look dude loo
Is the sky blue or black?,holy fucking christ
Does a cat have a ear?,oh dude kenny you really want you
Can a cat fly?,huh
How many legs does a cat have?,uh we were
How many legs does a spider have?,uh we were only out
What is the color of the sky?,well i guess we are not getting goodi
What is the color of water?,well i do not really have to get on
How much is two plus two?,no you are not gonna have to talk to you
How much is ten add two?,let s got a big douche
What do you like to talk about?,i do not think so
What is your job?,i do not know
Tell me something about you.,having five billion people on
What do you think about coffee? ,i do not know anything
Do you like math?,no i am sure glad that is because of it
Can you tell me a joke?,hello
I really like the song. What do you think?,dude i thought the hell did you say anything
Do you like basketball?,do not know what we just came down in america
What kind of music do you like best?,i am just a show of it
What’s your favorite sport?,detective why
